E50005300GM0002020An50001753RNTA                                    INDUSTRIE CIGARETTE                     Tunis                                   Boulevard 15 Octobre                                                    00421080                                                                                                                                                                                 
L50005300GM00020200000011001162YAM000 PharmacieCentraledeTunisie              Commercedemedicament                    LaCharguiaTunis                                                                                                         000000024907667000000000373615000000000863848000000000215962000000000000000000000000000000000000000000000000000000000000000000024318090                          Morale
L50005300GM00020200000021011864DAM000 OFFICEDELAVIATIONCIVILEETDESAEROPORTS   TRANSPORTAIERIEN                        AEROPORTINTERNATIONALDETUNISCARTHAGEBP137et147                                                                          000000012299600000000000184494000000001963840000000000490960000000000000000000000000000000000000000000000000000000000000000000011624146                          Morale
L50005300GM00020200000031933065GNM000 ANGED                                   GESTIONDESDECHETS                       6RUEALAMINEALABASSI1002TUNIS                                                                                            000000025402057000000000000000000000001778144000000000444536000000000000000000000000000000000000000000000000000000000000000000024957521                          Morale
L50005300GM00020200000041002454MAM000 StTunisiennedesPeintures                AstralEtanche                           GP1RoutedeSousseKm552033Megrine                                                                                         000000002740333000000000041105000000000437532000000000109383000000000000000000000000000000000000000000000000000000000000000000002589845                          Morale
L50005300GM00020200000051002264HAM000 SNDP                                    Distributiondepetrole                   AVMedAliAkilCitOlympique1053Tunis                                                                                       000000003581867000000000053728000000000571900000000000142975000000000000000000000000000000000000000000000000000000000000000000003385164                          Morale
L50005300GM00020200000061001214SAM000 Renault                                 CommercedevoitureetPdeRechange          AvKheireddinePacha1002TunisBlv                                                                                          000000006480000000000000097200000000001034640000000000258660000000000000000000000000000000000000000000000000000000000000000000006124140                          Morale
L50005300GM000202000000711189281XAM000GLOBALTECHNIK                           CommercediversProduits                  33RUEKHEIREDDINEBARBAROUSSE                                                                                             000000000242733000000000003641000000000038760000000000009690000000000000000000000000000000000000000000000000000000000000000000000229402                          Morale
L50005300GM00020200000081566417PAM000 LAPASSIONDELEAU                         VENTECHLORE                             TUNIS                                                                                                                   000000000500000000000000007500000000000079828000000000019957000000000000000000000000000000000000000000000000000000000000000000000472543                          Morale
L50005300GM000202000000911220404ZAM000CE2ENGINEERING                          ETUDEDEPROJET                           2RUELABIDAPPARTEMENT26                                                                                                  000000010449815000000000000000000000001358476000000000339619000000000000000000000000000000000000000000000000000000000000000000010110196                          Morale
L50005300GM000202000001011199191BAM000STFP                                    COMMERCEDIVERS                          TUNIS                                                                                                                   000000000428400000000000006426000000000068400000000000017100000000000000000000000000000000000000000000000000000000000000000000000404874                          Morale
L50005300GM00020200000111000318WPM000 CTN                                     NAVIGATION                              5AVDARHAMMARSKKJOED                                                                                                     000000001677867000000000025168000000000267900000000000066975000000000000000000000000000000000000000000000000000000000000000000001585724                          Morale
L50005300GM00020200000121003120WAM000 LaBrosse                                DiversArticlesencristal                 ZIlaCharguia2035Tunis                                                                                                   000000000461000000000000006915000000000073592000000000018398000000000000000000000000000000000000000000000000000000000000000000000435687                          Morale
L50005300GM00020200000131005607ZAM000 Tunimatec                               Commercedumateriel                      58AvdeCarthageTunis                                                                                                     000000007282200000000000109233000000000955516000000000238879000000000000000000000000000000000000000000000000000000000000000000006934088                          Morale
L50005300GM00020200000141937892DAM000 Italcar                                 ReparationAppareilVisiteJeuxdePatin     Rue8612ZICharguia2035Tunis                                                                                              000000007971267000000000119569000000001268432000000000317108000000000000000000000000000000000000000000000000000000000000000000007534590                          Morale
L50005300GM00020200000151002172EBM000 StlePneu                                CommerceduPneu                          47AvdeCarthage1000Tunis                                                                                                 000000004172800000000000062592000000000666256000000000166564000000000000000000000000000000000000000000000000000000000000000000003943644                          Morale
L50005300GM00020200000161013889XAM000 SOTETEL                                 Tlcommunication                         RuedeentreoreneursZICharguiaIIAro                                                                                       000000005117000000000000076755000000000817000000000000204250000000000000000000000000000000000000000000000000000000000000000000004835995                          Morale
L50005300GM00020200000171001741MAM000 SOCOTU                                  TRANSPORTMARITIME                       ZONEPORTIERERADES                                                                                                       000000003782133000000000056732000000000442600000000000110650000000000000000000000000000000000000000000000000000000000000000000003614751                          Morale
L50005300GM00020200000181001878EAM000 Revelon                                 CommercedeFer                           92AvdeCarthageBP861001Tunis                                                                                             000000002658667000000000039880000000000424496000000000106124000000000000000000000000000000000000000000000000000000000000000000002512663                          Morale
L50005300GM00020200000191000521XAM000 Boudrant                                FournituregeneraleindAgrETautomo        53AvdeCarthage1000Tunis                                                                                                 000000006057800000000000090867000000000973620000000000243405000000000000000000000000000000000000000000000000000000000000000000005723528                          Morale
L50005300GM00020200000201001574QAM000 Stafim                                  CommercedevoituresPeugeot               RueduLacLmanLesBergesduLac1053                                                                                          000000032024667000000000480370000000005113292000000001278323000000000000000000000000000000000000000000000000000000000000000000030265974                          Morale
L50005300GM00020200000211014239WAM000 ACTAPAVE                                Controletechnique                       51RuedesentrepZIArianaBP110Tunis                                                                                        000000003592667000000000053890000000001805748000000000451437000000000000000000000000000000000000000000000000000000000000000000003087340                          Morale
L50005300GM00020200000221011826XAM000 STEM                                    Commercedemballage                      2RuedepapierM2grineRiadh                                                                                                000012972117400000000194581761000002071178564000000517794641000000000000000000000000000000000000000000000000000000000000000012259740998                          Morale
L50005300GM00020200000231006110GAM000 STAM                                    AcconageetManutention                   AgencedeRadesTunis                                                                                                      000001444399133000000021665987000000229936820000000057484205000000000000000000000000000000000000000000000000000000000000000001365248941                          Morale
L50005300GM00020200000241001547MAM000 SOTURASC                                CommercediversProduits                  83AvdeLondres1000Tunis                                                                                                  000000041446400000000000621696000000006617492000000001654373000000000000000000000000000000000000000000000000000000000000000000039170331                          Morale
L50005300GM00020200000251000335XAM000 COMPTOIRGENERALEDEQUINCAILLERIE         QUINCAILLERIE                           TUNIS                                                                                                                   000000000561067000000000008416000000000089584000000000022396000000000000000000000000000000000000000000000000000000000000000000000530255                          Morale
L50005300GM00020200000261002784DAM000 SAM                                     MATERIELAUTOMOBILE                      48AVKHEIREDDINEPACHA1002TUNISBP1332                                                                                     000000019860667000000000297910000000001416404000000000354101000000000000000000000000000000000000000000000000000000000000000000019208656                          Morale
L50005300GM00020200000271001949CAM000 Ennakel                                 Diversservicesmaintenance               ZICharguiaTunis                                                                                                         000000027804200000000000417063000000004439332000000001109833000000000000000000000000000000000000000000000000000000000000000000026277304                          Morale
L50005300GM00020200000281000879BAM000 LeMaterielHidromek                      ConcessionnaireagreenmaterieldebatimEtTra45rueIbnKhaldoun1001Tunis                                                                                               000000008864467000000000132967000000001334244000000000333561000000000000000000000000000000000000000000000000000000000000000000008397939                          Morale
L50005300GM00020200000291000271YAM000 AURESAUTOSA                             DISTRIBUTEURSOFFICIELCITROENENTUNISIE   28RUE8600ZILACHARGUIA12035TUNISCARTHAGE                                                                                 000000024164000000000000362460000000003754204000000000938551000000000000000000000000000000000000000000000000000000000000000000022862989                          Morale
L50005300GM000202000003011518604EAM000STEHERITIERSALITOUMI                    Locataire                               71avenuerepubliqueHAMMAMLIF                                                                                             000000178500000000000002677500000000002850000000000000712500000000000000000000000000000000000000000000000000000000000000000000175110000                          Morale
L50005300GM00020200000311432297KAM000 FRIGOTECHNIQUE                          VENTEMATEIELELECTRONIQUE                93AVBELLEVUEELWARDIA1009TUNIS                                                                                           000000008533200000000000127998000000001362448000000000340612000000000000000000000000000000000000000000000000000000000000000000008064590                          Morale
L50005300GM00020200000321006036PAM000 LaGravureModerne                        Diversservices                          2RueMustaphaMbarek1000TunisTunisie                                                                                      000000001501733000000000022526000000000239780000000000059945000000000000000000000000000000000000000000000000000000000000000000001419262                          Morale
L50005300GM00020200000331004091NAM000 SIFCOLDistribution                      DistributiondeColle                     RoutedeGabesKM2BP161Sfax3018Tunisie                                                                                     000000298321267000000004474819000000047631176000000011907794000000000000000000000000000000000000000000000000000000000000000000281938654                          Morale
L50005300GM00020200000341030103YAM000 SOTITHER                                INSTALLATIONTECHNIQUEETINSDUSTRIELLE    RUEHAMOUDAPACHADOUARHICHERZIKSARSAIDTUNIS                                                                               000000032141933000000000482129000000005131896000000001282974000000000000000000000000000000000000000000000000000000000000000000030376830                          Morale
L50005300GM00020200000351002471NBM000 STETUNISIENNESOTRADIES                  DIVERSROULEMENT                         RUEN8611ZICHARGUIA1080TUNIS                                                                                             000000023752800000000000356292000000002048040000000000512010000000000000000000000000000000000000000000000000000000000000000000022884498                          Morale
L50005300GM00020200000361000573KAM000 PareninATLASCOPO                        CommPiecesderechangedevoiture           91AvdeCarthage1000Tunis                                                                                                 000000035955800000000000539337000000005015728000000001253932000000000000000000000000000000000000000000000000000000000000000000034162531                          Morale
